Citing,Cited,tfidf_Title,tfidf_Abstract,tfidf_Citance_Title (max),tfidf_Citance_Title (avg),tfidf_Citance_Abstract (max),tfidf_Citance_Abstract (avg)
compstat-2010,1,0.12536693798731732,0.0529769425939516,0.04361255961625577,0.04361255961625577,0.07445145072827514,0.07445145072827514
Cortes-Vapnik1995_Article_Support-VectorNetworks,1,0.0,0.13708287732095012,0.11403832503808087,0.1247948135100479,0.13480833783108426,0.15419536520299212
Robbins1951,1,0.0,0.0,0.015411980945766872,0.015411980945766872,0.0,0.0
1978915.1978919,2,0.08176804146599938,0.09446830794382463,0.09012067812652791,0.09012067812652791,0.08031911664556303,0.08031911664556303
learning-features-2009-TR,2,0.0,0.0,0.2546113916491162,0.2546113916491162,0.0,0.0
1-s2.0-016727389290072W-main,3,0.0,0.02187543266350465,0.009632802361594344,0.009632802361594344,0.008256235805776013,0.008256235805776013
1-s2.0-S0378775312019490-main,3,0.0,0.016530189021193124,0.042339025668318146,0.042339025668318146,0.011178701913917606,0.011178701913917606
BFOscience,3,0.0,0.07004695286389538,0.024546731103081785,0.024546731103081785,0.05823402630215081,0.05823402630215081
s41563-018-0275-2,3,0.0,0.06152477971066547,0.0,0.0,0.06094770526751445,0.06094770526751445
1404.7456,4,0.0,0.054397095108142376,0.03355675651589166,0.03355675651589166,0.02806943190363854,0.02806943190363854
Lucchi14,4,0.0,0.06483910876112933,0.06776876902862583,0.06776876902862583,0.09268541882705744,0.09268541882705744
1512.03385,5,0.0,0.09451195130012521,0.028812930683077706,0.028812930683077706,0.0717007263514696,0.0717007263514696
4824-imagenet-classification-with-deep-convolutional-neural-networks,5,0.3360969272762574,0.06396455831649153,0.07715087873771531,0.08694821918136364,0.06366633328112607,0.1148759530564127
mobilenets,5,0.41120705506761857,0.08168638880697196,0.07239147393296941,0.07239147393296941,0.06645675929737084,0.06645675929737084
1-s2.0-S1074761318301213-main,6,0.1362763414390864,0.04222481065709474,0.1863795133181271,0.1863795133181271,0.13252459811373177,0.13252459811373177
nihms958989,6,0.13627634143908643,0.008277955208925858,0.0629392563327187,0.15370562182409528,0.014763860903945297,0.025680688617050248
1505.04366,7,0.0,0.03801966160622669,0.1634767868899595,0.1634767868899595,0.07932435082631122,0.07932435082631122
1506.01497,7,0.1350734836708713,0.04349113281432397,0.07240235231808213,0.07240235231808213,0.09362825992713636,0.09362825992713636
4824-imagenet-classification-with-deep-convolutional-neural-networks(1),7,0.0,0.0409597303256363,0.1787762799107855,0.1787762799107855,0.050056672273236576,0.050056672273236576
1202.2745,8,0.18443191662261305,0.10520877315300421,0.11846881745299728,0.11846881745299728,0.13063908871595564,0.13063908871595564
remotesensing-08-00715,8,0.13627634143908643,0.044925810210753814,0.14782590523644165,0.14782590523644165,0.13435563360759317,0.13435563360759317
1402.4735,9,0.15592892548708362,0.11631573871953763,0.0,0.0,0.018800082250649587,0.018800082250649587
1408.5093,9,0.0,0.1066642728167916,0.06683215203626261,0.07702020814388838,0.10522822387619371,0.12433496852597091
1508.02788,9,0.0,0.0996443948546111,0.2227759762657246,0.2227759762657246,0.17005529672411643,0.17005529672411643
koutnik2014gecco,9,0.14587439082056453,0.13904730334356968,0.08405788653068909,0.08405788653068909,0.10576542581386725,0.10576542581386725
1-s2.0-S016890029700048X-main,10,0.0,0.03454914072074961,0.022553127419186556,0.022553127419186556,0.0304067823154889,0.0304067823154889
Lecun98,10,0.061005457719230376,0.13117717067442608,0.02507511889716934,0.05015023779433868,0.10439486480833537,0.11090481189194318
1402.4735(1),11,0.15592892548708362,0.15443084329183931,0.16529434304999915,0.16529434304999915,0.09728032433117699,0.09728032433117699
1503.03832,11,0.0,0.05287958834129606,0.046521087037827515,0.046521087037827515,0.1225938701468249,0.1225938701468249
NatureDeepReview,11,0.4103626449521846,0.12951737464980045,0.0,0.0,0.0,0.0
9,4,0.09349477497536716,0.11322419891993615,0.06807324060368486,0.16997540172549866,0.07411712488865167,0.1234262093228743
9,8,0.0845798608014702,0.12711236472996143,0.09508586669362964,0.09508586669362964,0.1383999143171331,0.1383999143171331
4,1,0.07030492086459504,0.09667106512733205,0.24394398103204085,0.27266045180461446,0.2152094510542017,0.2448654794207992
11,10,0.1904842771117607,0.18846586337457524,0.01465106746155312,0.01465106746155312,0.016347771940536916,0.016347771940536916
4,7,0.0,0.059764945664738556,0.09907466488635708,0.10793005953219184,0.08102681934685604,0.09725775811877159
1,6,0.21972536979203855,0.08414971270939714,0.14380020838275595,0.1733097197987908,0.1970813239221534,0.2496069274994577
